ID, Time, State
stranger0, 2024-07-05 11:14:16.834581, In
stranger1, 2024-07-05 11:14:17.364151, In
stranger2, 2024-07-05 11:14:17.874029, In
[Change], 2024-07-05 11:14:22.770586, stranger2 -> Duy_TC
stranger3, 2024-07-05 11:14:40.968264, In
[Change], 2024-07-05 11:14:41.871400, Duy_TC -> stranger2
stranger4, 2024-07-05 11:14:43.216474, In
Duy_TC, 2024-07-05 11:14:50.876149, In
stranger6, 2024-07-05 11:14:57.959728, In
stranger7, 2024-07-05 11:14:58.644982, In
stranger8, 2024-07-05 11:14:59.806900, In
stranger9, 2024-07-05 11:15:00.266744, In
stranger10, 2024-07-05 11:15:03.708470, In
stranger11, 2024-07-05 11:15:05.291879, In
[Change], 2024-07-05 11:15:09.978306, stranger8 -> photo_2024-07-02_09-16-08
stranger12, 2024-07-05 11:15:14.460216, In
stranger13, 2024-07-05 11:15:18.824062, In
[Change], 2024-07-05 11:15:20.028144, photo_2024-07-02_09-16-08 -> stranger8
stranger14, 2024-07-05 11:15:25.826797, In
stranger0, 2024-07-05 11:18:10.565469, In
stranger1, 2024-07-05 11:18:11.421444, In
stranger2, 2024-07-05 11:18:11.990390, In
[Change], 2024-07-05 11:18:16.497734, stranger2 -> Duy_TC
stranger3, 2024-07-05 11:18:33.330480, In
stranger0, 2024-07-05 11:18:33.330798, Out
stranger1, 2024-07-05 11:18:33.330864, Out
stranger4, 2024-07-05 11:18:35.148153, In
[Change], 2024-07-05 11:18:36.060750, Duy_TC -> stranger2
stranger2, 2024-07-05 11:18:40.405730, Out
stranger3, 2024-07-05 11:18:40.405962, Out
Duy_TC, 2024-07-05 11:18:42.895203, In
stranger4, 2024-07-05 11:18:42.895442, Out
Duy_TC, 2024-07-05 11:18:45.389201, Out
stranger6, 2024-07-05 11:18:50.173424, In
stranger7, 2024-07-05 11:18:50.849497, In
stranger8, 2024-07-05 11:18:51.996704, In
stranger9, 2024-07-05 11:18:52.448463, In
stranger7, 2024-07-05 11:18:54.037000, Out
stranger9, 2024-07-05 11:18:54.037230, Out
stranger10, 2024-07-05 11:18:55.847985, In
stranger11, 2024-07-05 11:18:57.456044, In
stranger11, 2024-07-05 11:18:59.048948, Out
stranger10, 2024-07-05 11:19:01.307122, Out
[Change], 2024-07-05 11:19:02.227691, stranger8 -> photo_2024-07-02_09-16-08
stranger6, 2024-07-05 11:19:02.228945, Out
stranger12, 2024-07-05 11:19:06.926719, In
stranger12, 2024-07-05 11:19:08.502370, Out
stranger13, 2024-07-05 11:19:11.203358, In
[Change], 2024-07-05 11:19:12.348366, photo_2024-07-02_09-16-08 -> stranger8
stranger13, 2024-07-05 11:19:13.251832, Out
stranger14, 2024-07-05 11:19:18.173132, In
stranger14, 2024-07-05 11:19:19.765654, Out
